"Label (Grouping)","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Los Angeles County, California!!Percent","Los Angeles County, California!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","3,675,444","±916","3,675,444","(X)"
"        Occupied housing units","3,450,470","±10,382","93.9%","±0.3"
"        Vacant housing units","224,974","±10,464","6.1%","±0.3"
"        Homeowner vacancy rate","0.8","±0.1","(X)","(X)"
"        Rental vacancy rate","3.9","±0.3","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","3,675,444","±916","3,675,444","(X)"
"        1-unit, detached","1,714,474","±15,178","46.6%","±0.4"
"        1-unit, attached","253,154","±8,301","6.9%","±0.2"
"        2 units","100,616","±5,662","2.7%","±0.2"
"        3 or 4 units","210,329","±7,920","5.7%","±0.2"
"        5 to 9 units","290,974","±9,913","7.9%","±0.3"
"        10 to 19 units","284,331","±10,419","7.7%","±0.3"
"        20 or more units","758,799","±13,051","20.6%","±0.4"
"        Mobile home","59,417","±4,265","1.6%","±0.1"
"        Boat, RV, van, etc.","3,350","±869","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","3,675,444","±916","3,675,444","(X)"
"        Built 2020 or later","47,874","±4,343","1.3%","±0.1"
"        Built 2010 to 2019","183,143","±7,261","5.0%","±0.2"
"        Built 2000 to 2009","218,774","±8,326","6.0%","±0.2"
"        Built 1990 to 1999","214,223","±7,253","5.8%","±0.2"
"        Built 1980 to 1989","439,051","±12,761","11.9%","±0.3"
"        Built 1970 to 1979","510,752","±13,154","13.9%","±0.4"
"        Built 1960 to 1969","505,386","±11,645","13.8%","±0.3"
"        Built 1950 to 1959","684,746","±11,244","18.6%","±0.3"
"        Built 1940 to 1949","345,287","±10,130","9.4%","±0.3"
"        Built 1939 or earlier","526,208","±11,038","14.3%","±0.3"
"ROOMS","","","",""
"    Total housing units","3,675,444","±916","3,675,444","(X)"
"        1 room","250,502","±10,302","6.8%","±0.3"
"        2 rooms","239,146","±8,054","6.5%","±0.2"
"        3 rooms","593,039","±12,639","16.1%","±0.3"
"        4 rooms","786,741","±14,197","21.4%","±0.4"
"        5 rooms","622,951","±13,299","16.9%","±0.4"
"        6 rooms","507,931","±10,392","13.8%","±0.3"
"        7 rooms","285,885","±8,517","7.8%","±0.2"
"        8 rooms","199,856","±6,223","5.4%","±0.2"
"        9 rooms or more","189,393","±7,299","5.2%","±0.2"
"        Median rooms","4.5","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","3,675,444","±916","3,675,444","(X)"
"        No bedroom","287,278","±11,282","7.8%","±0.3"
"        1 bedroom","698,346","±11,433","19.0%","±0.3"
"        2 bedrooms","1,085,714","±15,984","29.5%","±0.4"
"        3 bedrooms","1,020,742","±13,121","27.8%","±0.4"
"        4 bedrooms","449,444","±9,468","12.2%","±0.3"
"        5 or more bedrooms","133,920","±6,437","3.6%","±0.2"
"HOUSING TENURE","","","",""
"    Occupied housing units","3,450,470","±10,382","3,450,470","(X)"
"        Owner-occupied","1,567,302","±14,234","45.4%","±0.4"
"        Renter-occupied","1,883,168","±14,946","54.6%","±0.4"
"        Average household size of owner-occupied unit","2.99","±0.02","(X)","(X)"
"        Average household size of renter-occupied unit","2.53","±0.01","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","3,450,470","±10,382","3,450,470","(X)"
"        Moved in 2021 or later","792,854","±14,681","23.0%","±0.4"
"        Moved in 2018 to 2020","584,973","±12,900","17.0%","±0.4"
"        Moved in 2010 to 2017","838,321","±12,694","24.3%","±0.4"
"        Moved in 2000 to 2009","556,715","±10,947","16.1%","±0.3"
"        Moved in 1990 to 1999","354,097","±9,751","10.3%","±0.3"
"        Moved in 1989 and earlier","323,510","±7,900","9.4%","±0.2"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","3,450,470","±10,382","3,450,470","(X)"
"        No vehicles available","312,455","±8,253","9.1%","±0.2"
"        1 vehicle available","1,207,970","±17,663","35.0%","±0.5"
"        2 vehicles available","1,175,623","±14,909","34.1%","±0.4"
"        3 or more vehicles available","754,422","±13,322","21.9%","±0.4"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","3,450,470","±10,382","3,450,470","(X)"
"        Utility gas","2,139,178","±15,826","62.0%","±0.4"
"        Bottled, tank, or LP gas","61,347","±4,295","1.8%","±0.1"
"        Electricity","1,032,051","±15,579","29.9%","±0.4"
"        Fuel oil, kerosene, etc.","4,208","±1,274","0.1%","±0.1"
"        Coal or coke","650","±423","0.0%","±0.1"
"        Wood","6,945","±1,382","0.2%","±0.1"
"        Solar energy","21,208","±2,113","0.6%","±0.1"
"        Other fuel","5,447","±1,320","0.2%","±0.1"
"        No fuel used","179,436","±7,103","5.2%","±0.2"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","3,450,470","±10,382","3,450,470","(X)"
"        Lacking complete plumbing facilities","16,033","±2,245","0.5%","±0.1"
"        Lacking complete kitchen facilities","56,863","±4,556","1.6%","±0.1"
"        No telephone service available","35,475","±3,713","1.0%","±0.1"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","3,450,470","±10,382","3,450,470","(X)"
"        1.00 or less","3,082,917","±13,660","89.3%","±0.3"
"        1.01 to 1.50","213,497","±8,137","6.2%","±0.2"
"        1.51 or more","154,056","±6,828","4.5%","±0.2"
"VALUE","","","",""
"    Owner-occupied units","1,567,302","±14,234","1,567,302","(X)"
"        Less than $50,000","32,280","±2,681","2.1%","±0.2"
"        $50,000 to $99,999","28,908","±2,878","1.8%","±0.2"
"        $100,000 to $149,999","16,065","±2,400","1.0%","±0.2"
"        $150,000 to $199,999","11,090","±1,598","0.7%","±0.1"
"        $200,000 to $299,999","19,986","±2,475","1.3%","±0.2"
"        $300,000 to $499,999","127,782","±5,334","8.2%","±0.3"
"        $500,000 to $999,999","819,837","±12,988","52.3%","±0.7"
"        $1,000,000 or more","511,354","±10,151","32.6%","±0.6"
"        Median (dollars)","828,700","±5,564","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","1,567,302","±14,234","1,567,302","(X)"
"        Housing units with a mortgage","1,073,741","±13,867","68.5%","±0.6"
"        Housing units without a mortgage","493,561","±9,787","31.5%","±0.6"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","1,073,741","±13,867","1,073,741","(X)"
"        Less than $500","7,931","±1,484","0.7%","±0.1"
"        $500 to $999","16,565","±1,960","1.5%","±0.2"
